               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,           0.0041456,           0.0088491,          3.4372e-05,             0.99707,             0.99818,             0.99242,             0.98964,           0.0036511,           0.0050746,          7.3635e-05,            0.001387,            0.001387,            0.001387
                  89,           0.0041332,           0.0089551,          3.3164e-05,             0.99707,             0.99818,             0.99249,             0.98973,           0.0036439,           0.0050728,          7.2418e-05,            0.001288,            0.001288,            0.001288
                  90,           0.0041665,           0.0088779,          3.2608e-05,             0.99707,             0.99818,             0.99249,             0.98976,           0.0036412,            0.005073,          7.1351e-05,            0.001189,            0.001189,            0.001189
                  91,           0.0041073,           0.0088276,          3.0251e-05,             0.99707,             0.99818,             0.99247,             0.98968,           0.0036355,           0.0050722,          7.0648e-05,             0.00109,             0.00109,             0.00109
                  92,           0.0040345,           0.0087343,          2.8457e-05,             0.99707,             0.99818,             0.99248,             0.98971,           0.0036279,           0.0050698,          6.9787e-05,            0.000991,            0.000991,            0.000991
                  93,           0.0040431,           0.0087577,          2.6942e-05,             0.99707,             0.99818,              0.9925,             0.98975,            0.003621,           0.0050671,          6.9216e-05,            0.000892,            0.000892,            0.000892
                  94,           0.0039973,           0.0086382,          2.5581e-05,             0.99707,             0.99818,             0.99248,             0.98973,            0.003613,           0.0050657,          6.8519e-05,            0.000793,            0.000793,            0.000793
                  95,           0.0039115,           0.0084116,           2.402e-05,             0.99706,             0.99818,             0.99248,             0.98976,           0.0036079,           0.0050646,          6.8045e-05,            0.000694,            0.000694,            0.000694
                  96,           0.0039105,           0.0086283,          2.3362e-05,             0.99706,             0.99818,             0.99245,             0.98966,           0.0036039,           0.0050638,          6.7539e-05,            0.000595,            0.000595,            0.000595
                  97,           0.0038841,           0.0083059,          2.2759e-05,             0.99706,             0.99818,             0.99246,             0.98966,           0.0035986,           0.0050626,          6.7225e-05,            0.000496,            0.000496,            0.000496
                  98,            0.003877,           0.0083976,          2.1691e-05,             0.99706,             0.99818,             0.99244,             0.98971,           0.0035945,           0.0050613,          6.6993e-05,            0.000397,            0.000397,            0.000397
                  99,           0.0038185,           0.0082826,          2.1893e-05,             0.99706,             0.99818,             0.99244,             0.98977,             0.00359,           0.0050601,          6.6763e-05,            0.000298,            0.000298,            0.000298
